"","x"
"1",15.9166666666667
"2",9.33333333333333
"3",11
"4",12.75
"5",2.5
"6",12.25
"7",4.41666666666667
"8",5.25
"9",0.166666666666667
"10",0
"11",0.5
"12",0
"13",1.25
