"","x"
"1",1
"2",0.376811594202899
"3",1.96376811594203
"4",4.53623188405797
"5",3.35507246376812
"6",6.51449275362319
"7",4.66666666666667
"8",1.45652173913043
"9",3.3768115942029
"10",0.731884057971015
"11",2.61594202898551
"12",4.85507246376812
"13",11.8478260869565
