"","x"
"1",1.2970297029703
"2",0
"3",0
"4",0.0099009900990099
"5",0
"6",0
"7",0
"8",0
"9",0
"10",2.42574257425743
"11",2.69306930693069
"12",14.3366336633663
"13",12.980198019802
