"","x"
"1",0
"2",0
"3",0
"4",0.857142857142857
"5",0
"6",0
"7",0
"8",0
"9",7.42857142857143
"10",21.7142857142857
"11",29.4285714285714
"12",14.8571428571429
"13",0.142857142857143
